Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
P1FIXED,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",P1 - Base year parent survey (2009),Academic performance,34.27,Low,Weak (Cramer's V=0.094),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.094) (supporting evidence only, not decisive)"
X2DADREL,"Indicates whether or not there is a biological, adoptive, or step father in the sample member's household identified in the first-followup parent questionnaire. For the few cases where there are multiple dads in the household, the priority is biological over adoptive and adoptive over step. X2DADREL is derived from two composite variables (X2P1RELATION and X2P2RELATION) which can contain imputed values; if either of these two input variables is imputed and the presence of a father in the household could not be determined from unimputed data, then the imputation flag for X2DADREL (X2DADREL_IM) is set to 2.","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S1SREASFRND,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.051),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S1SREASUSE,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.090),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.090) (supporting evidence only, not decisive)"
S1SREASCLG,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.082),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
S1SREASENJOY,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.099),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.099) (supporting evidence only, not decisive)"
S1SREASLIKE,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.064),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.064) (supporting evidence only, not decisive)"
S1SREASJOB,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.109),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.109) (supporting evidence only, not decisive)"
S1SREASGOOD,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.106),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.106) (supporting evidence only, not decisive)"
S1SREASTCHR,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.052),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.052) (supporting evidence only, not decisive)"
S1SREASPAR,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.069),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.069) (supporting evidence only, not decisive)"
S1SYRS,"Including this year, how many years of science do you expect to take during high school? One year Two years Three years Four or more years",S1 - Base year student survey item (2009),Academic performance,10.71,Low,Weak (Cramer's V=0.081),Include,"Statistical association with target: Weak (Cramer's V=0.081) (supporting evidence only, not decisive)"
S1MTEXTBOOK,How much do you agree or disagree with the following statements about your [fall 2009 math] course? You are certain that you can understand the most difficult material presented in the textbook used in this course Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,19.13,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
S1APCALC,Do you plan to enroll in... an Advanced Placement (AP) calculus course? Yes No You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,13.17,Low,Weak (Cramer's V=0.094),Include,"Statistical association with target: Weak (Cramer's V=0.094) (supporting evidence only, not decisive)"
S1MREASNOT,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.052),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.052) (supporting evidence only, not decisive)"
S1MREASFRND,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.053),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.053) (supporting evidence only, not decisive)"
S1MREASUSE,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.084),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.084) (supporting evidence only, not decisive)"
S1MREASCLG,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.075),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.075) (supporting evidence only, not decisive)"
S1MREASENJOY,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.085),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.085) (supporting evidence only, not decisive)"
S1MREASLIKE,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.053),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.053) (supporting evidence only, not decisive)"
S1MREASJOB,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.087),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.087) (supporting evidence only, not decisive)"
S1MREASGOOD,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.103),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.103) (supporting evidence only, not decisive)"
S1MREASPAR,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,13.12,Low,Weak (Cramer's V=0.063),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.063) (supporting evidence only, not decisive)"
S1MYRS,"Including this year, how many years of math do you expect to take during high school? One year Two years Three years Four or more years",S1 - Base year student survey item (2009),Academic performance,10.34,Low,Weak (Cramer's V=0.076),Include,"Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
S1IBCALC,Do you plan to enroll in... an International Baccalaureate (IB) calculus course? Yes No You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,14.79,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S2HS2013,The next series of questions are about what you are most likely to be doing in the fall of 2013. Which of the following activities do you expect to be doing at that time? Attending high school or a GED completion course 1=Yes 2=No 3=Don't Know,S2 - First follow-up student survey item (2012),Academic performance,13.39,Low,Weak (Cramer's V=0.059),Include,"Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
S2FAMILY2013,The next series of questions are about what you are most likely to be doing in the fall of 2013. Which of the following activities do you expect to be doing at that time? Starting a family or taking care of your children 1=Yes 2=No 3=Don't Know,S2 - First follow-up student survey item (2012),Demographic or socioeconomic controls,12.59,Low,Weak (Cramer's V=0.067),Include,"Statistical association with target: Weak (Cramer's V=0.067) (supporting evidence only, not decisive)"
S2FRFTJOB,How many of your close friends... plan to have a full-time job instead of continuing their education? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.,S2 - First follow-up student survey item (2012),Career interests and aspirations,13.23,Low,Weak (Cramer's V=0.062),Include,"Statistical association with target: Weak (Cramer's V=0.062) (supporting evidence only, not decisive)"
S2FRCLGEXAM,"How many of your close friends... have taken the PSAT, SAT, PLAN or ACT? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.",S2 - First follow-up student survey item (2012),Academic performance,13.36,Low,Weak (Cramer's V=0.076),Include,"Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
X1PAR1EDU,"Indicates the highest level of education achieved by ""parent #1""; ""parent #1"" is the parent to whom all ""parent #1"" variables (e.g., X1P1RELATION, X1PAR1EMP, P1YRBORN1, P1USYR1, etc.) refer. X1PAR1EDU is taken from the base year parent questionnaire; if missing from the base year parent questionnaire, X1PAR1EDU is statistically imputed for cases with a completed parent interview (imputed values in X1PAR1EDU can be identified using X1PAR1EDU_IM). ""Educational Specialist diploma"" recoded as ""Master's degree"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,28.59,Low,Weak (Cramer's V=0.080),Include,"Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
S2PSATNUM,"How many times, if any, have you taken the following tests? PSAT or PLAN 0=Never 1=Once 2=Twice 3=3 or more times 4=You don't know what this is Administered To: All respondents.",S2 - First follow-up student survey item (2012),Academic performance,13.63,Low,Weak (Cramer's V=0.080),Include,"Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
S1FYNOTSURE,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,S1 - Base year student survey item (2009),Academic performance,10.56,Low,Weak (Cramer's V=0.058),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.058) (supporting evidence only, not decisive)"
S1FYTRAVEL,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,S1 - Base year student survey item (2009),Academic performance,10.56,Low,Weak (Cramer's V=0.052),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.052) (supporting evidence only, not decisive)"
S1FYMILITARY,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,S1 - Base year student survey item (2009),Academic performance,10.56,Low,Weak (Cramer's V=0.069),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.069) (supporting evidence only, not decisive)"
S1FYBA,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,S1 - Base year student survey item (2009),Academic performance,10.56,Low,Weak (Cramer's V=0.108),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.108) (supporting evidence only, not decisive)"
S1SREASNOT,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",S1 - Base year student survey item (2009),Academic performance,14.64,Low,Weak (Cramer's V=0.058),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.058) (supporting evidence only, not decisive)"
S1ABILITYBA,"Whatever your plans, do you think you have the ability to complete a Bachelor's degree? Definitely Probably Probably not Definitely not",S1 - Base year student survey item (2009),Academic performance,10.77,Low,Weak (Cramer's V=0.093),Include,"Statistical association with target: Weak (Cramer's V=0.093) (supporting evidence only, not decisive)"
S1SURECLG,How sure are you that you will go on to college to pursue a Bachelor's degree after you leave high school? Very sure you'll go You'll probably go You probably won't go Very sure you won't go,S1 - Base year student survey item (2009),Academic performance,46.81,Low,Weak (Cramer's V=0.082),Include,"Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
S1EDUEXPECT,"As things stand now, how far in school do you think you will get? Less than high school High school graduation or GED Start but not complete an Associate's degree from a community college or technical institute Complete an Associate's degree from a community college or technical institute Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree or equivalent Complete a Master's degree or equivalent Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree Don't know",S1 - Base year student survey item (2009),Academic performance,10.07,Low,Weak (Cramer's V=0.079),Include,"Statistical association with target: Weak (Cramer's V=0.079) (supporting evidence only, not decisive)"
S1SUREHSGRAD,How sure are you that you will graduate from high school? Very sure you'll graduate You'll probably graduate You probably won't graduate Very sure you won't graduate,S1 - Base year student survey item (2009),Academic performance,11.15,Low,Weak (Cramer's V=0.057),Include,"Statistical association with target: Weak (Cramer's V=0.057) (supporting evidence only, not decisive)"
S1AP,Have you taken or are you planning to take... an Advanced Placement (AP) test? No Yes You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,12.77,Low,Weak (Cramer's V=0.086),Include,"Statistical association with target: Weak (Cramer's V=0.086) (supporting evidence only, not decisive)"
S1ACT,Have you taken or are you planning to take... American College Testing Service (ACT) test? No Yes You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,12.98,Low,Weak (Cramer's V=0.056),Include,"Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
S1SAT,Have you taken or are you planning to take... the SAT? No Yes You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,12.3,Low,Weak (Cramer's V=0.064),Include,"Statistical association with target: Weak (Cramer's V=0.064) (supporting evidence only, not decisive)"
S1PSAT,Have you taken or are you planning to take... the PSAT? No Yes You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,12.16,Low,Weak (Cramer's V=0.057),Include,"Statistical association with target: Weak (Cramer's V=0.057) (supporting evidence only, not decisive)"
S1PLAN,"An ""education plan"" or a ""career plan"" is a series of activities and courses that you will need to complete in order to get into college or be successful in your future career. Have you put together... a combined education and career plan an education plan only a career plan only or none of these?",S1 - Base year student survey item (2009),Academic performance,11.63,Low,Weak (Cramer's V=0.053),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.053) (supporting evidence only, not decisive)"
S1IBSCI,Do you plan to enroll in... an International Baccalaureate (IB) science course? Yes No You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,15.9,Low,Weak (Cramer's V=0.057),Include,"Statistical association with target: Weak (Cramer's V=0.057) (supporting evidence only, not decisive)"
S1APS,Do you plan to enroll in... an Advanced Placement (AP) science course? Yes No You haven't decided yet You don't know what this is,S1 - Base year student survey item (2009),Academic performance,14.63,Low,Weak (Cramer's V=0.099),Include,"Statistical association with target: Weak (Cramer's V=0.099) (supporting evidence only, not decisive)"
S1BAAGE30,Would you be disappointed if you did not graduate from college with a Bachelor's degree by the time you are 30 years old? Yes No,S1 - Base year student survey item (2009),Academic performance,10.59,Low,Weak (Cramer's V=0.062),Include,"Statistical association with target: Weak (Cramer's V=0.062) (supporting evidence only, not decisive)"
S1NOHWDN,How often do you... go to class without your homework done? Never Rarely Sometimes Often,S1 - Base year student survey item (2009),Academic performance,10.14,Low,Weak (Cramer's V=0.053),Include,"Statistical association with target: Weak (Cramer's V=0.053) (supporting evidence only, not decisive)"
S1GOODGRADES,How much do you agree or disagree with the following statements about your current school? Getting good grades in school is important to you Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,10.39,Low,Weak (Cramer's V=0.060),Include,"Statistical association with target: Weak (Cramer's V=0.060) (supporting evidence only, not decisive)"
S1SASSEXCL,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You are confident that you can do an excellent job on assignments in this course Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.91,Low,Weak (Cramer's V=0.072),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
S1SSKILLS,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You are certain you can master the skills being taught in this course Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.7,Low,Weak (Cramer's V=0.078),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
S1STEXTBOOK,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You are certain you can understand the most difficult material presented in the textbook used in this course Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.55,Low,Weak (Cramer's V=0.077),Include,"Statistical association with target: Weak (Cramer's V=0.077) (supporting evidence only, not decisive)"
S1STESTS,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You are confident that you can do an excellent job on tests in this course Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.44,Low,Weak (Cramer's V=0.072),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
S1SUSEJOB,How much do you agree or disagree with the following statements about the usefulness of your [fall 2009 science] course? What students learn in this course... will be useful for a future career. Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,26.15,Low,Weak (Cramer's V=0.073),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.073) (supporting evidence only, not decisive)"
S1SUSECLG,How much do you agree or disagree with the following statements about the usefulness of your [fall 2009 science] course? What students learn in this course... will be useful for college. Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.93,Low,Weak (Cramer's V=0.052),Include,"Statistical association with target: Weak (Cramer's V=0.052) (supporting evidence only, not decisive)"
S1SUSELIFE,How much do you agree or disagree with the following statements about the usefulness of your [fall 2009 science] course? What students learn in this course... is useful for everyday life. Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.89,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S1SWASTE,How much do you agree or disagree with the following statements about your [fall 2009 science] course? You think this class is a waste of your time Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,25.49,Low,Weak (Cramer's V=0.057),Include,"Statistical association with target: Weak (Cramer's V=0.057) (supporting evidence only, not decisive)"
S1FRNDSCHOOL,"As far as you know, are the following statements true or false for your closest friend? Your closest friend... is interested in school. True False",S1 - Base year student survey item (2009),Academic performance,11.26,Low,Weak (Cramer's V=0.051),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S1SCAREER,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",S1 - Base year student survey item (2009),Academic performance,25.39,Low,Weak (Cramer's V=0.070),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
S1SCLGSUCC,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",S1 - Base year student survey item (2009),Academic performance,25.39,Low,Weak (Cramer's V=0.054),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.054) (supporting evidence only, not decisive)"
